part_number,functional_id,product_line,forecast_month,months_of_history,months_since_sub,in_transition_window,forecast,actual,abs_error,pct_error,fit_status,alpha,model_type
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-10-01,33,6,True,59.0,57,2.0,3.508771929824561,fitted,0.4812,BOM-aware SES
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-11-01,33,7,False,59.0,58,1.0,1.7241379310344827,fitted,0.4812,BOM-aware SES
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-12-01,33,8,False,59.0,65,6.0,9.230769230769232,fitted,0.4812,BOM-aware SES
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-10-01,33,10,False,113.0,112,1.0,0.8928571428571428,fitted,0.3768,BOM-aware SES
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-11-01,33,11,False,113.0,113,0.0,0.0,fitted,0.3768,BOM-aware SES
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-12-01,33,12,False,113.0,104,9.0,8.653846153846153,fitted,0.3768,BOM-aware SES
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-10-01,33,13,False,210.0,221,11.0,4.97737556561086,fitted,0.3206,BOM-aware SES
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-11-01,33,14,False,210.0,209,1.0,0.4784688995215311,fitted,0.3206,BOM-aware SES
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-12-01,33,15,False,210.0,239,29.0,12.133891213389122,fitted,0.3206,BOM-aware SES
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-10-01,33,3,True,207.0,230,23.0,10.0,fitted,0.0541,BOM-aware SES
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-11-01,33,4,True,207.0,216,9.0,4.166666666666666,fitted,0.0541,BOM-aware SES
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-12-01,33,5,True,207.0,220,13.0,5.909090909090909,fitted,0.0541,BOM-aware SES
AL05-9757-YI,FID-AL-05,PL-Alpha,2024-10-01,33,14,False,62.0,76,14.0,18.421052631578945,fitted,0.2571,BOM-aware SES
AL05-9757-YI,FID-AL-05,PL-Alpha,2024-11-01,33,15,False,62.0,54,8.0,14.814814814814813,fitted,0.2571,BOM-aware SES
AL05-9757-YI,FID-AL-05,PL-Alpha,2024-12-01,33,16,False,62.0,67,5.0,7.462686567164178,fitted,0.2571,BOM-aware SES
AL06-2382-US,FID-AL-06,PL-Alpha,2024-10-01,33,13,False,125.0,104,21.0,20.192307692307693,fitted,0.2041,BOM-aware SES
AL06-2382-US,FID-AL-06,PL-Alpha,2024-11-01,33,14,False,125.0,116,9.0,7.758620689655173,fitted,0.2041,BOM-aware SES
AL06-2382-US,FID-AL-06,PL-Alpha,2024-12-01,33,15,False,125.0,133,8.0,6.015037593984962,fitted,0.2041,BOM-aware SES
AL07-4297-JO,FID-AL-07,PL-Alpha,2024-10-01,33,23,False,112.0,107,5.0,4.672897196261682,fitted,0.2342,BOM-aware SES
AL07-4297-JO,FID-AL-07,PL-Alpha,2024-11-01,33,24,False,112.0,83,29.0,34.93975903614458,fitted,0.2342,BOM-aware SES
AL07-4297-JO,FID-AL-07,PL-Alpha,2024-12-01,33,25,False,112.0,119,7.0,5.88235294117647,fitted,0.2342,BOM-aware SES
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-10-01,33,2,True,67.0,75,8.0,10.666666666666668,fitted,0.3193,BOM-aware SES
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-11-01,33,3,True,67.0,73,6.0,8.21917808219178,fitted,0.3193,BOM-aware SES
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-12-01,33,4,True,67.0,76,9.0,11.842105263157894,fitted,0.3193,BOM-aware SES
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-10-01,33,9,False,156.0,141,15.0,10.638297872340425,fitted,0.1359,BOM-aware SES
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-11-01,33,10,False,156.0,171,15.0,8.771929824561402,fitted,0.1359,BOM-aware SES
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-12-01,33,11,False,156.0,173,17.0,9.826589595375722,fitted,0.1359,BOM-aware SES
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-10-01,33,2,True,46.0,42,4.0,9.523809523809524,fitted,0.4124,BOM-aware SES
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-11-01,33,3,True,46.0,49,3.0,6.122448979591836,fitted,0.4124,BOM-aware SES
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-12-01,33,4,True,46.0,47,1.0,2.127659574468085,fitted,0.4124,BOM-aware SES
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-10-01,33,3,True,143.0,164,21.0,12.804878048780488,fitted,0.5485,BOM-aware SES
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-11-01,33,4,True,143.0,128,15.0,11.71875,fitted,0.5485,BOM-aware SES
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-12-01,33,5,True,143.0,148,5.0,3.3783783783783785,fitted,0.5485,BOM-aware SES
AL12-3957-FA,FID-AL-12,PL-Alpha,2024-10-01,33,17,False,215.0,193,22.0,11.398963730569948,fitted,0.1081,BOM-aware SES
AL12-3957-FA,FID-AL-12,PL-Alpha,2024-11-01,33,18,False,215.0,256,41.0,16.015625,fitted,0.1081,BOM-aware SES
AL12-3957-FA,FID-AL-12,PL-Alpha,2024-12-01,33,19,False,215.0,215,0.0,0.0,fitted,0.1081,BOM-aware SES
BE01-2281-WI,FID-BE-01,PL-Beta,2024-10-01,33,4,True,191.0,225,34.0,15.11111111111111,fitted,0.261,BOM-aware SES
BE01-2281-WI,FID-BE-01,PL-Beta,2024-11-01,33,5,True,191.0,222,31.0,13.963963963963963,fitted,0.261,BOM-aware SES
BE01-2281-WI,FID-BE-01,PL-Beta,2024-12-01,33,6,True,191.0,200,9.0,4.5,fitted,0.261,BOM-aware SES
BE02-6912-XL,FID-BE-02,PL-Beta,2024-10-01,33,8,False,10.0,12,2.0,16.666666666666664,fitted,0.3969,BOM-aware SES
BE02-6912-XL,FID-BE-02,PL-Beta,2024-11-01,33,9,False,10.0,9,1.0,11.11111111111111,fitted,0.3969,BOM-aware SES
