product_line,functional_id,n_forecasts,mape,mae,n_transition_rows,transition_mape,transition_mae
PL-Alpha,FID-AL-01,3,4.82,3.0,1,3.51,2.0
PL-Alpha,FID-AL-02,3,3.18,3.33,0,,
PL-Alpha,FID-AL-03,3,5.86,13.67,0,,
PL-Alpha,FID-AL-04,3,6.69,15.0,3,6.69,15.0
PL-Alpha,FID-AL-05,3,13.57,9.0,0,,
PL-Alpha,FID-AL-06,3,11.32,12.67,0,,
PL-Alpha,FID-AL-07,3,15.17,13.67,0,,
PL-Alpha,FID-AL-08,3,10.24,7.67,3,10.24,7.67
PL-Alpha,FID-AL-09,3,9.75,15.67,0,,
PL-Alpha,FID-AL-10,3,5.92,2.67,3,5.92,2.67
PL-Alpha,FID-AL-11,3,9.3,13.67,3,9.3,13.67
PL-Alpha,FID-AL-12,3,9.14,21.0,0,,
PL-Beta,FID-BE-01,3,11.19,24.67,3,11.19,24.67
PL-Beta,FID-BE-02,3,12.29,1.33,0,,
PL-Beta,FID-BE-03,3,2.78,1.33,0,,
PL-Beta,FID-BE-04,3,14.83,7.67,0,,
PL-Beta,FID-BE-05,3,18.14,27.67,0,,
PL-Beta,FID-BE-06,3,11.35,17.33,0,,
PL-Beta,FID-BE-07,3,31.76,7.67,0,,
PL-Beta,FID-BE-08,3,27.7,5.67,0,,
PL-Beta,FID-BE-09,3,8.79,10.0,0,,
PL-Beta,FID-BE-10,3,6.47,14.67,0,,
PL-Beta,FID-BE-11,3,5.93,4.0,0,,
PL-Beta,FID-BE-12,3,11.49,14.33,3,11.49,14.33
PL-Delta,FID-DE-01,3,10.01,17.0,0,,
PL-Delta,FID-DE-02,3,15.72,30.67,0,,
PL-Delta,FID-DE-03,3,7.35,12.67,0,,
PL-Delta,FID-DE-04,3,7.17,2.33,0,,
PL-Delta,FID-DE-05,3,6.68,3.67,3,6.68,3.67
PL-Delta,FID-DE-06,3,15.76,20.33,0,,
PL-Delta,FID-DE-07,3,9.96,16.33,0,,
PL-Delta,FID-DE-08,3,8.26,12.33,3,8.26,12.33
PL-Delta,FID-DE-09,3,7.9,2.67,0,,
PL-Delta,FID-DE-10,3,6.52,2.33,0,,
PL-Delta,FID-DE-11,3,3.1,1.33,3,3.1,1.33
PL-Delta,FID-DE-12,3,14.51,18.33,0,,
PL-Gamma,FID-GA-01,3,14.73,35.0,0,,
PL-Gamma,FID-GA-02,3,6.94,8.67,0,,
PL-Gamma,FID-GA-03,3,8.73,5.33,0,,
PL-Gamma,FID-GA-04,3,18.71,4.67,0,,
PL-Gamma,FID-GA-05,3,6.51,1.33,0,,
PL-Gamma,FID-GA-06,3,21.17,31.67,0,,
PL-Gamma,FID-GA-07,3,2.99,2.67,0,,
PL-Gamma,FID-GA-08,3,22.53,23.33,0,,
PL-Gamma,FID-GA-09,3,15.25,13.0,3,15.25,13.0
PL-Gamma,FID-GA-10,3,13.41,21.33,0,,
PL-Gamma,FID-GA-11,3,13.11,22.67,1,14.29,25.0
PL-Gamma,FID-GA-12,3,12.78,27.33,2,8.83,17.0
