date,part_number,functional_id,product_line,demand,is_active
2022-01-01,AL01-1874-QA,FID-AL-01,PL-Alpha,27,1
2022-02-01,AL01-1874-QA,FID-AL-01,PL-Alpha,23,1
2022-03-01,AL01-1874-QA,FID-AL-01,PL-Alpha,30,1
2022-04-01,AL01-1874-QA,FID-AL-01,PL-Alpha,29,1
2022-05-01,AL01-1874-QA,FID-AL-01,PL-Alpha,31,1
2022-06-01,AL01-1874-QA,FID-AL-01,PL-Alpha,29,1
2022-07-01,AL01-1874-QA,FID-AL-01,PL-Alpha,37,1
2022-08-01,AL01-1874-QA,FID-AL-01,PL-Alpha,37,1
2022-09-01,AL01-3810-HF,FID-AL-01,PL-Alpha,35,1
2022-10-01,AL01-3810-HF,FID-AL-01,PL-Alpha,41,1
2022-11-01,AL01-3810-HF,FID-AL-01,PL-Alpha,39,1
2022-12-01,AL01-3810-HF,FID-AL-01,PL-Alpha,35,1
2023-01-01,AL01-3810-HF,FID-AL-01,PL-Alpha,51,1
2023-02-01,AL01-3810-HF,FID-AL-01,PL-Alpha,36,1
2023-03-01,AL01-3810-HF,FID-AL-01,PL-Alpha,45,1
2023-04-01,AL01-7909-TR,FID-AL-01,PL-Alpha,42,1
2023-05-01,AL01-7909-TR,FID-AL-01,PL-Alpha,42,1
2023-06-01,AL01-7909-TR,FID-AL-01,PL-Alpha,41,1
2023-07-01,AL01-7909-TR,FID-AL-01,PL-Alpha,50,1
2023-08-01,AL01-7909-TR,FID-AL-01,PL-Alpha,45,1
2023-09-01,AL01-7909-TR,FID-AL-01,PL-Alpha,45,1
2023-10-01,AL01-7909-TR,FID-AL-01,PL-Alpha,47,1
2023-11-01,AL01-7909-TR,FID-AL-01,PL-Alpha,51,1
2023-12-01,AL01-7909-TR,FID-AL-01,PL-Alpha,51,1
2024-01-01,AL01-7909-TR,FID-AL-01,PL-Alpha,62,1
2024-02-01,AL01-7909-TR,FID-AL-01,PL-Alpha,54,1
2024-03-01,AL01-7909-TR,FID-AL-01,PL-Alpha,62,1
2024-04-01,AL01-8489-XC,FID-AL-01,PL-Alpha,52,1
2024-05-01,AL01-8489-XC,FID-AL-01,PL-Alpha,53,1
2024-06-01,AL01-8489-XC,FID-AL-01,PL-Alpha,53,1
2024-07-01,AL01-8489-XC,FID-AL-01,PL-Alpha,59,1
2024-08-01,AL01-8489-XC,FID-AL-01,PL-Alpha,63,1
2024-09-01,AL01-8489-XC,FID-AL-01,PL-Alpha,59,1
2024-10-01,AL01-8489-XC,FID-AL-01,PL-Alpha,57,1
2024-11-01,AL01-8489-XC,FID-AL-01,PL-Alpha,58,1
2024-12-01,AL01-8489-XC,FID-AL-01,PL-Alpha,65,1
2022-01-01,AL02-5156-KA,FID-AL-02,PL-Alpha,113,1
2022-02-01,AL02-5156-KA,FID-AL-02,PL-Alpha,89,1
2022-03-01,AL02-5156-KA,FID-AL-02,PL-Alpha,94,1
2022-04-01,AL02-5156-KA,FID-AL-02,PL-Alpha,69,1
2022-05-01,AL02-5156-KA,FID-AL-02,PL-Alpha,84,1
2022-06-01,AL02-5156-KA,FID-AL-02,PL-Alpha,83,1
2022-07-01,AL02-5156-KA,FID-AL-02,PL-Alpha,82,1
2022-08-01,AL02-5156-KA,FID-AL-02,PL-Alpha,88,1
2022-09-01,AL02-5156-KA,FID-AL-02,PL-Alpha,111,1
2022-10-01,AL02-5156-KA,FID-AL-02,PL-Alpha,82,1
2022-11-01,AL02-5156-KA,FID-AL-02,PL-Alpha,106,1
2022-12-01,AL02-5156-KA,FID-AL-02,PL-Alpha,74,1
2023-01-01,AL02-5156-KA,FID-AL-02,PL-Alpha,111,1
2023-02-01,AL02-5156-KA,FID-AL-02,PL-Alpha,99,1
2023-03-01,AL02-5156-KA,FID-AL-02,PL-Alpha,105,1
2023-04-01,AL02-5156-KA,FID-AL-02,PL-Alpha,108,1
2023-05-01,AL02-5156-KA,FID-AL-02,PL-Alpha,110,1
2023-06-01,AL02-5156-KA,FID-AL-02,PL-Alpha,97,1
2023-07-01,AL02-5156-KA,FID-AL-02,PL-Alpha,96,1
2023-08-01,AL02-5156-KA,FID-AL-02,PL-Alpha,114,1
2023-09-01,AL02-5156-KA,FID-AL-02,PL-Alpha,102,1
2023-10-01,AL02-5156-KA,FID-AL-02,PL-Alpha,89,1
2023-11-01,AL02-5156-KA,FID-AL-02,PL-Alpha,92,1
2023-12-01,AL02-7452-FN,FID-AL-02,PL-Alpha,95,1
2024-01-01,AL02-7452-FN,FID-AL-02,PL-Alpha,134,1
2024-02-01,AL02-7452-FN,FID-AL-02,PL-Alpha,111,1
2024-03-01,AL02-7452-FN,FID-AL-02,PL-Alpha,119,1
2024-04-01,AL02-7452-FN,FID-AL-02,PL-Alpha,106,1
2024-05-01,AL02-7452-FN,FID-AL-02,PL-Alpha,114,1
2024-06-01,AL02-7452-FN,FID-AL-02,PL-Alpha,121,1
2024-07-01,AL02-7452-FN,FID-AL-02,PL-Alpha,110,1
2024-08-01,AL02-7452-FN,FID-AL-02,PL-Alpha,121,1
2024-09-01,AL02-7452-FN,FID-AL-02,PL-Alpha,108,1
2024-10-01,AL02-7452-FN,FID-AL-02,PL-Alpha,112,1
2024-11-01,AL02-7452-FN,FID-AL-02,PL-Alpha,113,1
2024-12-01,AL02-7452-FN,FID-AL-02,PL-Alpha,104,1
2022-01-01,AL03-8140-AF,FID-AL-03,PL-Alpha,221,1
2022-02-01,AL03-8140-AF,FID-AL-03,PL-Alpha,171,1
2022-03-01,AL03-8140-AF,FID-AL-03,PL-Alpha,181,1
2022-04-01,AL03-8140-AF,FID-AL-03,PL-Alpha,137,1
2022-05-01,AL03-8140-AF,FID-AL-03,PL-Alpha,144,1
2022-06-01,AL03-8140-AF,FID-AL-03,PL-Alpha,148,1
2022-07-01,AL03-8140-AF,FID-AL-03,PL-Alpha,158,1
2022-08-01,AL03-8140-AF,FID-AL-03,PL-Alpha,196,1
2022-09-01,AL03-8140-AF,FID-AL-03,PL-Alpha,161,1
2022-10-01,AL03-8140-AF,FID-AL-03,PL-Alpha,176,1
2022-11-01,AL03-8140-AF,FID-AL-03,PL-Alpha,222,1
2022-12-01,AL03-8140-AF,FID-AL-03,PL-Alpha,178,1
2023-01-01,AL03-8140-AF,FID-AL-03,PL-Alpha,270,1
2023-02-01,AL03-8140-AF,FID-AL-03,PL-Alpha,163,1
2023-03-01,AL03-8140-AF,FID-AL-03,PL-Alpha,183,1
2023-04-01,AL03-8140-AF,FID-AL-03,PL-Alpha,164,1
2023-05-01,AL03-8140-AF,FID-AL-03,PL-Alpha,181,1
2023-06-01,AL03-8140-AF,FID-AL-03,PL-Alpha,213,1
2023-07-01,AL03-8140-AF,FID-AL-03,PL-Alpha,144,1
2023-08-01,AL03-8140-AF,FID-AL-03,PL-Alpha,203,1
2023-09-01,AL03-2535-QO,FID-AL-03,PL-Alpha,198,1
2023-10-01,AL03-2535-QO,FID-AL-03,PL-Alpha,176,1
2023-11-01,AL03-2535-QO,FID-AL-03,PL-Alpha,154,1
2023-12-01,AL03-2535-QO,FID-AL-03,PL-Alpha,195,1
2024-01-01,AL03-2535-QO,FID-AL-03,PL-Alpha,232,1
2024-02-01,AL03-2535-QO,FID-AL-03,PL-Alpha,201,1
2024-03-01,AL03-2535-QO,FID-AL-03,PL-Alpha,196,1
2024-04-01,AL03-2535-QO,FID-AL-03,PL-Alpha,239,1
2024-05-01,AL03-2535-QO,FID-AL-03,PL-Alpha,189,1
2024-06-01,AL03-2535-QO,FID-AL-03,PL-Alpha,169,1
2024-07-01,AL03-2535-QO,FID-AL-03,PL-Alpha,202,1
2024-08-01,AL03-2535-QO,FID-AL-03,PL-Alpha,204,1
2024-09-01,AL03-2535-QO,FID-AL-03,PL-Alpha,235,1
2024-10-01,AL03-2535-QO,FID-AL-03,PL-Alpha,221,1
2024-11-01,AL03-2535-QO,FID-AL-03,PL-Alpha,209,1
2024-12-01,AL03-2535-QO,FID-AL-03,PL-Alpha,239,1
2022-01-01,AL04-2481-FP,FID-AL-04,PL-Alpha,195,1
2022-02-01,AL04-2481-FP,FID-AL-04,PL-Alpha,159,1
2022-03-01,AL04-2481-FP,FID-AL-04,PL-Alpha,197,1
2022-04-01,AL04-2481-FP,FID-AL-04,PL-Alpha,212,1
2022-05-01,AL04-2481-FP,FID-AL-04,PL-Alpha,246,1
2022-06-01,AL04-2481-FP,FID-AL-04,PL-Alpha,272,1
2022-07-01,AL04-2481-FP,FID-AL-04,PL-Alpha,204,1
2022-08-01,AL04-2481-FP,FID-AL-04,PL-Alpha,165,1
2022-09-01,AL04-2481-FP,FID-AL-04,PL-Alpha,135,1
2022-10-01,AL04-2481-FP,FID-AL-04,PL-Alpha,202,1
2022-11-01,AL04-2481-FP,FID-AL-04,PL-Alpha,173,1
2022-12-01,AL04-2481-FP,FID-AL-04,PL-Alpha,185,1
2023-01-01,AL04-2481-FP,FID-AL-04,PL-Alpha,240,1
2023-02-01,AL04-2481-FP,FID-AL-04,PL-Alpha,195,1
2023-03-01,AL04-2481-FP,FID-AL-04,PL-Alpha,230,1
2023-04-01,AL04-2481-FP,FID-AL-04,PL-Alpha,205,1
2023-05-01,AL04-2481-FP,FID-AL-04,PL-Alpha,198,1
2023-06-01,AL04-2481-FP,FID-AL-04,PL-Alpha,174,1
2023-07-01,AL04-2481-FP,FID-AL-04,PL-Alpha,157,1
2023-08-01,AL04-2481-FP,FID-AL-04,PL-Alpha,191,1
2023-09-01,AL04-2481-FP,FID-AL-04,PL-Alpha,204,1
2023-10-01,AL04-2481-FP,FID-AL-04,PL-Alpha,256,1
2023-11-01,AL04-2481-FP,FID-AL-04,PL-Alpha,212,1
2023-12-01,AL04-2481-FP,FID-AL-04,PL-Alpha,236,1
2024-01-01,AL04-2481-FP,FID-AL-04,PL-Alpha,234,1
2024-02-01,AL04-2481-FP,FID-AL-04,PL-Alpha,178,1
2024-03-01,AL04-2481-FP,FID-AL-04,PL-Alpha,185,1
2024-04-01,AL04-2481-FP,FID-AL-04,PL-Alpha,193,1
2024-05-01,AL04-2481-FP,FID-AL-04,PL-Alpha,273,1
2024-06-01,AL04-2481-FP,FID-AL-04,PL-Alpha,192,1
2024-07-01,AL04-5797-VA,FID-AL-04,PL-Alpha,239,1
2024-08-01,AL04-5797-VA,FID-AL-04,PL-Alpha,192,1
2024-09-01,AL04-5797-VA,FID-AL-04,PL-Alpha,244,1
2024-10-01,AL04-5797-VA,FID-AL-04,PL-Alpha,230,1
2024-11-01,AL04-5797-VA,FID-AL-04,PL-Alpha,216,1
2024-12-01,AL04-5797-VA,FID-AL-04,PL-Alpha,220,1
2022-01-01,AL05-1727-US,FID-AL-05,PL-Alpha,95,1
2022-02-01,AL05-1727-US,FID-AL-05,PL-Alpha,66,1
2022-03-01,AL05-1727-US,FID-AL-05,PL-Alpha,70,1
2022-04-01,AL05-1727-US,FID-AL-05,PL-Alpha,80,1
2022-05-01,AL05-1727-US,FID-AL-05,PL-Alpha,69,1
2022-06-01,AL05-1727-US,FID-AL-05,PL-Alpha,63,1
2022-07-01,AL05-1727-US,FID-AL-05,PL-Alpha,78,1
2022-08-01,AL05-4577-IE,FID-AL-05,PL-Alpha,71,1
2022-09-01,AL05-4577-IE,FID-AL-05,PL-Alpha,82,1
2022-10-01,AL05-4577-IE,FID-AL-05,PL-Alpha,69,1
2022-11-01,AL05-4577-IE,FID-AL-05,PL-Alpha,55,1
2022-12-01,AL05-4577-IE,FID-AL-05,PL-Alpha,53,1
2023-01-01,AL05-4577-IE,FID-AL-05,PL-Alpha,109,1
2023-02-01,AL05-4577-IE,FID-AL-05,PL-Alpha,84,1
2023-03-01,AL05-4577-IE,FID-AL-05,PL-Alpha,65,1
2023-04-01,AL05-4577-IE,FID-AL-05,PL-Alpha,63,1
2023-05-01,AL05-4577-IE,FID-AL-05,PL-Alpha,82,1
2023-06-01,AL05-4577-IE,FID-AL-05,PL-Alpha,56,1
2023-07-01,AL05-4577-IE,FID-AL-05,PL-Alpha,58,1
2023-08-01,AL05-9757-YI,FID-AL-05,PL-Alpha,73,1
2023-09-01,AL05-9757-YI,FID-AL-05,PL-Alpha,63,1
2023-10-01,AL05-9757-YI,FID-AL-05,PL-Alpha,67,1
2023-11-01,AL05-9757-YI,FID-AL-05,PL-Alpha,65,1
2023-12-01,AL05-9757-YI,FID-AL-05,PL-Alpha,70,1
2024-01-01,AL05-9757-YI,FID-AL-05,PL-Alpha,105,1
2024-02-01,AL05-9757-YI,FID-AL-05,PL-Alpha,68,1
2024-03-01,AL05-9757-YI,FID-AL-05,PL-Alpha,73,1
2024-04-01,AL05-9757-YI,FID-AL-05,PL-Alpha,46,1
2024-05-01,AL05-9757-YI,FID-AL-05,PL-Alpha,67,1
2024-06-01,AL05-9757-YI,FID-AL-05,PL-Alpha,59,1
