part_number,functional_id,product_line,active_from,active_to
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-01-01,2022-08-01
AL01-3810-HF,FID-AL-01,PL-Alpha,2022-09-01,2023-03-01
AL01-7909-TR,FID-AL-01,PL-Alpha,2023-04-01,2024-03-01
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-04-01,current
AL02-5156-KA,FID-AL-02,PL-Alpha,2022-01-01,2023-11-01
AL02-7452-FN,FID-AL-02,PL-Alpha,2023-12-01,current
AL03-8140-AF,FID-AL-03,PL-Alpha,2022-01-01,2023-08-01
AL03-2535-QO,FID-AL-03,PL-Alpha,2023-09-01,current
AL04-2481-FP,FID-AL-04,PL-Alpha,2022-01-01,2024-06-01
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-07-01,current
AL05-1727-US,FID-AL-05,PL-Alpha,2022-01-01,2022-07-01
AL05-4577-IE,FID-AL-05,PL-Alpha,2022-08-01,2023-07-01
AL05-9757-YI,FID-AL-05,PL-Alpha,2023-08-01,current
AL06-3562-CC,FID-AL-06,PL-Alpha,2022-01-01,2022-08-01
AL06-6196-WP,FID-AL-06,PL-Alpha,2022-09-01,2023-08-01
AL06-2382-US,FID-AL-06,PL-Alpha,2023-09-01,current
AL07-5544-NZ,FID-AL-07,PL-Alpha,2022-01-01,2022-10-01
AL07-4297-JO,FID-AL-07,PL-Alpha,2022-11-01,current
AL08-6395-VQ,FID-AL-08,PL-Alpha,2022-01-01,2023-05-01
AL08-2252-WP,FID-AL-08,PL-Alpha,2023-06-01,2024-07-01
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-08-01,current
AL09-1397-FH,FID-AL-09,PL-Alpha,2022-01-01,2022-07-01
AL09-8911-CG,FID-AL-09,PL-Alpha,2022-08-01,2023-06-01
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-07-01,2023-12-01
AL09-3554-QJ,FID-AL-09,PL-Alpha,2024-01-01,current
AL10-1825-JF,FID-AL-10,PL-Alpha,2022-01-01,2023-03-01
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-04-01,2023-11-01
AL10-2651-QP,FID-AL-10,PL-Alpha,2023-12-01,2024-07-01
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-08-01,current
AL11-8273-EJ,FID-AL-11,PL-Alpha,2022-01-01,2023-01-01
AL11-7629-ZQ,FID-AL-11,PL-Alpha,2023-02-01,2024-06-01
