part_number,functional_id,product_line,forecast_month,months_of_history,months_since_sub,in_transition_window,forecast,actual,abs_error,pct_error,fit_status,arima_order,aic
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-06-01,5,,False,,29,,,insufficient_history,N/A,
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-07-01,5,,False,,37,,,insufficient_history,N/A,
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-08-01,5,,False,,37,,,insufficient_history,N/A,
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-01-01,4,4.0,True,,51,,,insufficient_history,N/A,
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-02-01,4,5.0,True,,36,,,insufficient_history,N/A,
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-03-01,4,6.0,True,,45,,,insufficient_history,N/A,
AL01-7909-TR,FID-AL-01,PL-Alpha,2024-01-01,9,9.0,False,,62,,,insufficient_history,N/A,
AL01-7909-TR,FID-AL-01,PL-Alpha,2024-02-01,9,10.0,False,,54,,,insufficient_history,N/A,
AL01-7909-TR,FID-AL-01,PL-Alpha,2024-03-01,9,11.0,False,,62,,,insufficient_history,N/A,
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-10-01,6,6.0,True,,57,,,insufficient_history,N/A,
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-11-01,6,7.0,False,,58,,,insufficient_history,N/A,
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-12-01,6,8.0,False,,65,,,insufficient_history,N/A,
AL02-5156-KA,FID-AL-02,PL-Alpha,2023-09-01,20,,False,114.0,102,12.0,11.76470588235294,fitted,"(0,1,0)",114.91089320489593
AL02-5156-KA,FID-AL-02,PL-Alpha,2023-10-01,20,,False,114.0,89,25.0,28.08988764044944,fitted,"(0,1,0)",114.91089320489593
AL02-5156-KA,FID-AL-02,PL-Alpha,2023-11-01,20,,False,114.0,92,22.0,23.91304347826087,fitted,"(0,1,0)",114.91089320489593
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-10-01,10,10.0,False,,112,,,insufficient_history,N/A,
