product_line,functional_id,n_forecasts,mape,mae,n_transition_rows,n_insufficient_in_transition
PL-Alpha,FID-AL-02,3,21.26,19.67,0,0
PL-Alpha,FID-AL-04,3,13.34,34.33,3,3
PL-Alpha,FID-AL-07,3,17.76,15.67,0,0
PL-Beta,FID-BE-01,3,6.99,16.67,6,6
PL-Beta,FID-BE-02,3,28.03,3.0,0,0
PL-Beta,FID-BE-06,3,9.19,14.33,0,0
PL-Beta,FID-BE-08,3,27.7,5.67,0,0
PL-Beta,FID-BE-09,3,3.89,4.33,0,0
PL-Beta,FID-BE-10,3,9.21,20.67,0,0
PL-Beta,FID-BE-12,3,10.68,13.0,3,3
PL-Delta,FID-DE-01,3,17.21,29.0,0,0
PL-Delta,FID-DE-03,3,6.97,11.33,0,0
PL-Delta,FID-DE-04,3,2.02,0.67,0,0
PL-Delta,FID-DE-05,3,11.45,5.33,3,3
PL-Delta,FID-DE-07,3,24.31,38.33,1,1
PL-Delta,FID-DE-10,3,7.38,2.67,0,0
PL-Delta,FID-DE-11,3,8.82,2.67,5,5
PL-Gamma,FID-GA-05,3,18.07,4.33,0,0
PL-Gamma,FID-GA-06,3,21.33,32.33,0,0
PL-Gamma,FID-GA-10,3,16.39,30.67,0,0
