part_number,functional_id,product_line,forecast_month,months_of_history,months_since_sub,in_transition_window,forecast,actual,abs_error,pct_error,fit_status,arima_order,aic
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-01-01,4,4.0,True,,51,,,insufficient_history,N/A,
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-02-01,4,5.0,True,,36,,,insufficient_history,N/A,
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-03-01,4,6.0,True,,45,,,insufficient_history,N/A,
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-10-01,6,6.0,True,,57,,,insufficient_history,N/A,
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-10-01,3,3.0,True,,230,,,insufficient_history,N/A,
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-11-01,3,4.0,True,,216,,,insufficient_history,N/A,
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-12-01,3,5.0,True,,220,,,insufficient_history,N/A,
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-10-01,2,2.0,True,,75,,,insufficient_history,N/A,
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-11-01,2,3.0,True,,73,,,insufficient_history,N/A,
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-12-01,2,4.0,True,,76,,,insufficient_history,N/A,
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-10-01,3,3.0,True,,180,,,insufficient_history,N/A,
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-11-01,3,4.0,True,,173,,,insufficient_history,N/A,
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-12-01,3,5.0,True,,216,,,insufficient_history,N/A,
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-05-01,5,5.0,True,,42,,,insufficient_history,N/A,
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-06-01,5,6.0,True,,48,,,insufficient_history,N/A,
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-10-01,2,2.0,True,,42,,,insufficient_history,N/A,
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-11-01,2,3.0,True,,49,,,insufficient_history,N/A,
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-12-01,2,4.0,True,,47,,,insufficient_history,N/A,
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-09-01,5,5.0,True,,46,,,insufficient_history,N/A,
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-10-01,5,6.0,True,,40,,,insufficient_history,N/A,
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-10-01,3,3.0,True,,164,,,insufficient_history,N/A,
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-11-01,3,4.0,True,,128,,,insufficient_history,N/A,
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-12-01,3,5.0,True,,148,,,insufficient_history,N/A,
BE01-2281-WI,FID-BE-01,PL-Beta,2024-10-01,4,4.0,True,,225,,,insufficient_history,N/A,
BE01-2281-WI,FID-BE-01,PL-Beta,2024-11-01,4,5.0,True,,222,,,insufficient_history,N/A,
BE01-2281-WI,FID-BE-01,PL-Beta,2024-12-01,4,6.0,True,,200,,,insufficient_history,N/A,
BE01-3767-FY,FID-BE-01,PL-Beta,2024-03-01,3,3.0,True,,169,,,insufficient_history,N/A,
BE01-3767-FY,FID-BE-01,PL-Beta,2024-04-01,3,4.0,True,,164,,,insufficient_history,N/A,
BE01-3767-FY,FID-BE-01,PL-Beta,2024-05-01,3,5.0,True,,174,,,insufficient_history,N/A,
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-04-01,4,4.0,True,,79,,,insufficient_history,N/A,
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-05-01,4,5.0,True,,73,,,insufficient_history,N/A,
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-06-01,4,6.0,True,,84,,,insufficient_history,N/A,
BE05-5119-BJ,FID-BE-05,PL-Beta,2023-12-01,6,6.0,True,,140,,,insufficient_history,N/A,
BE12-1188-AY,FID-BE-12,PL-Beta,2024-10-01,3,3.0,True,,125,,,insufficient_history,N/A,
BE12-1188-AY,FID-BE-12,PL-Beta,2024-11-01,3,4.0,True,,147,,,insufficient_history,N/A,
BE12-1188-AY,FID-BE-12,PL-Beta,2024-12-01,3,5.0,True,,117,,,insufficient_history,N/A,
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-07-01,3,3.0,True,,167,,,insufficient_history,N/A,
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-08-01,3,4.0,True,,154,,,insufficient_history,N/A,
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-09-01,3,5.0,True,,159,,,insufficient_history,N/A,
DE05-2506-LK,FID-DE-05,PL-Delta,2024-10-01,3,3.0,True,,54,,,insufficient_history,N/A,
DE05-2506-LK,FID-DE-05,PL-Delta,2024-11-01,3,4.0,True,,54,,,insufficient_history,N/A,
DE05-2506-LK,FID-DE-05,PL-Delta,2024-12-01,3,5.0,True,,56,,,insufficient_history,N/A,
DE07-6795-ZP,FID-DE-07,PL-Delta,2022-11-01,6,6.0,True,,138,,,insufficient_history,N/A,
DE08-6337-CE,FID-DE-08,PL-Delta,2024-10-01,2,2.0,True,,146,,,insufficient_history,N/A,
DE08-6337-CE,FID-DE-08,PL-Delta,2024-11-01,2,3.0,True,,161,,,insufficient_history,N/A,
DE08-6337-CE,FID-DE-08,PL-Delta,2024-12-01,2,4.0,True,,151,,,insufficient_history,N/A,
DE08-7553-NW,FID-DE-08,PL-Delta,2022-11-01,6,6.0,True,,177,,,insufficient_history,N/A,
DE11-4073-NY,FID-DE-11,PL-Delta,2024-05-01,5,5.0,True,,37,,,insufficient_history,N/A,
DE11-4073-NY,FID-DE-11,PL-Delta,2024-06-01,5,6.0,True,,42,,,insufficient_history,N/A,
DE11-5740-FS,FID-DE-11,PL-Delta,2024-10-01,2,2.0,True,,43,,,insufficient_history,N/A,
DE11-5740-FS,FID-DE-11,PL-Delta,2024-11-01,2,3.0,True,,42,,,insufficient_history,N/A,
DE11-5740-FS,FID-DE-11,PL-Delta,2024-12-01,2,4.0,True,,45,,,insufficient_history,N/A,
GA08-1365-WB,FID-GA-08,PL-Gamma,2023-08-01,6,6.0,True,,133,,,insufficient_history,N/A,
GA09-1457-YO,FID-GA-09,PL-Gamma,2023-05-01,6,6.0,True,,82,,,insufficient_history,N/A,
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-10-01,2,2.0,True,,90,,,insufficient_history,N/A,
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-11-01,2,3.0,True,,69,,,insufficient_history,N/A,
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-12-01,2,4.0,True,,81,,,insufficient_history,N/A,
GA11-2770-KI,FID-GA-11,PL-Gamma,2024-10-01,6,6.0,True,,175,,,insufficient_history,N/A,
GA11-3026-ZC,FID-GA-11,PL-Gamma,2024-01-01,6,6.0,True,,172,,,insufficient_history,N/A,
GA12-5669-KH,FID-GA-12,PL-Gamma,2024-10-01,5,5.0,True,,172,,,insufficient_history,N/A,
GA12-5669-KH,FID-GA-12,PL-Gamma,2024-11-01,5,6.0,True,,206,,,insufficient_history,N/A,
