product_line,functional_id,n_part_numbers,base_demand,trend_per_month
PL-Alpha,FID-AL-01,4,27.0,1.0
PL-Alpha,FID-AL-02,2,84.0,1.0
PL-Alpha,FID-AL-03,2,182.0,0.5
PL-Alpha,FID-AL-04,2,186.0,1.0
PL-Alpha,FID-AL-05,3,67.0,0.0
PL-Alpha,FID-AL-06,3,103.0,0.5
PL-Alpha,FID-AL-07,2,113.0,0.0
PL-Alpha,FID-AL-08,3,72.0,0.0
PL-Alpha,FID-AL-09,4,160.0,0.0
PL-Alpha,FID-AL-10,4,30.0,0.5
PL-Alpha,FID-AL-11,3,113.0,1.0
PL-Alpha,FID-AL-12,2,185.0,1.0
PL-Beta,FID-BE-01,3,169.0,1.0
PL-Beta,FID-BE-02,2,11.0,0.0
PL-Beta,FID-BE-03,3,11.0,1.0
PL-Beta,FID-BE-04,3,75.0,0.0
PL-Beta,FID-BE-05,4,131.0,0.0
PL-Beta,FID-BE-06,2,173.0,0.0
PL-Beta,FID-BE-07,3,35.0,0.0
PL-Beta,FID-BE-08,2,29.0,0.0
PL-Beta,FID-BE-09,2,67.0,1.0
PL-Beta,FID-BE-10,2,189.0,0.0
PL-Beta,FID-BE-11,2,63.0,0.0
PL-Beta,FID-BE-12,2,136.0,0.0
PL-Gamma,FID-GA-01,2,200.0,1.0
PL-Gamma,FID-GA-02,3,134.0,0.0
PL-Gamma,FID-GA-03,3,48.0,0.5
PL-Gamma,FID-GA-04,2,22.0,0.0
PL-Gamma,FID-GA-05,2,21.0,0.0
PL-Gamma,FID-GA-06,2,137.0,1.0
PL-Gamma,FID-GA-07,3,52.0,1.0
PL-Gamma,FID-GA-08,3,112.0,0.0
PL-Gamma,FID-GA-09,4,77.0,0.0
PL-Gamma,FID-GA-10,2,181.0,0.0
PL-Gamma,FID-GA-11,3,145.0,0.5
PL-Gamma,FID-GA-12,3,171.0,1.0
PL-Delta,FID-DE-01,2,156.0,0.0
PL-Delta,FID-DE-02,3,172.0,0.0
PL-Delta,FID-DE-03,2,126.0,1.0
PL-Delta,FID-DE-04,2,36.0,0.0
PL-Delta,FID-DE-05,2,39.0,0.5
PL-Delta,FID-DE-06,2,129.0,0.0
PL-Delta,FID-DE-07,3,111.0,1.0
PL-Delta,FID-DE-08,4,158.0,0.5
PL-Delta,FID-DE-09,2,28.0,0.0
PL-Delta,FID-DE-10,2,30.0,0.0
PL-Delta,FID-DE-11,3,11.0,1.0
PL-Delta,FID-DE-12,2,109.0,1.0
