part_number,functional_id,product_line,forecast_month,months_of_history,months_since_sub,in_transition_window,forecast,actual,abs_error,pct_error,fit_status,alpha,model_type
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-06-01,5,,False,27.0,29,2.0,6.896551724137931,fitted,0.05,SES
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-07-01,5,,False,27.0,37,10.0,27.027027027027028,fitted,0.05,SES
AL01-1874-QA,FID-AL-01,PL-Alpha,2022-08-01,5,,False,27.0,37,10.0,27.027027027027028,fitted,0.05,SES
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-01-01,4,4.0,True,37.0,51,14.0,27.450980392156865,fitted,0.2521,SES
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-02-01,4,5.0,True,37.0,36,1.0,2.7777777777777777,fitted,0.2521,SES
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-03-01,4,6.0,True,37.0,45,8.0,17.77777777777778,fitted,0.2521,SES
AL01-7909-TR,FID-AL-01,PL-Alpha,2024-01-01,9,9.0,False,50.0,62,12.0,19.35483870967742,fitted,0.5743,SES
AL01-7909-TR,FID-AL-01,PL-Alpha,2024-02-01,9,10.0,False,50.0,54,4.0,7.4074074074074066,fitted,0.5743,SES
AL01-7909-TR,FID-AL-01,PL-Alpha,2024-03-01,9,11.0,False,50.0,62,12.0,19.35483870967742,fitted,0.5743,SES
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-10-01,6,6.0,True,59.0,57,2.0,3.508771929824561,fitted,0.95,SES
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-11-01,6,7.0,False,59.0,58,1.0,1.7241379310344827,fitted,0.95,SES
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-12-01,6,8.0,False,59.0,65,6.0,9.230769230769232,fitted,0.95,SES
AL02-5156-KA,FID-AL-02,PL-Alpha,2023-09-01,20,,False,106.0,102,4.0,3.9215686274509802,fitted,0.4223,SES
AL02-5156-KA,FID-AL-02,PL-Alpha,2023-10-01,20,,False,106.0,89,17.0,19.101123595505616,fitted,0.4223,SES
AL02-5156-KA,FID-AL-02,PL-Alpha,2023-11-01,20,,False,106.0,92,14.0,15.217391304347828,fitted,0.4223,SES
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-10-01,10,10.0,False,113.0,112,1.0,0.8928571428571428,fitted,0.3927,SES
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-11-01,10,11.0,False,113.0,113,0.0,0.0,fitted,0.3927,SES
AL02-7452-FN,FID-AL-02,PL-Alpha,2024-12-01,10,12.0,False,113.0,104,9.0,8.653846153846153,fitted,0.3927,SES
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-10-01,13,13.0,False,199.0,221,22.0,9.95475113122172,fitted,0.05,SES
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-11-01,13,14.0,False,199.0,209,10.0,4.784688995215311,fitted,0.05,SES
AL03-2535-QO,FID-AL-03,PL-Alpha,2024-12-01,13,15.0,False,199.0,239,40.0,16.736401673640167,fitted,0.05,SES
AL03-8140-AF,FID-AL-03,PL-Alpha,2023-06-01,17,,False,180.0,213,33.0,15.492957746478872,fitted,0.4524,SES
AL03-8140-AF,FID-AL-03,PL-Alpha,2023-07-01,17,,False,180.0,144,36.0,25.0,fitted,0.4524,SES
AL03-8140-AF,FID-AL-03,PL-Alpha,2023-08-01,17,,False,180.0,203,23.0,11.330049261083744,fitted,0.4524,SES
AL04-2481-FP,FID-AL-04,PL-Alpha,2024-04-01,27,,False,189.0,193,4.0,2.072538860103627,fitted,0.6664,SES
