product_line,functional_id,n_forecasts,mape,mae,n_transition_rows,transition_mape,transition_mae
PL-Alpha,FID-AL-01,12,14.13,6.83,4,12.88,6.25
PL-Alpha,FID-AL-02,6,7.96,7.5,0,,
PL-Alpha,FID-AL-03,6,13.88,27.33,0,,
PL-Alpha,FID-AL-04,6,9.15,22.67,3,6.83,15.0
PL-Alpha,FID-AL-05,9,15.36,9.78,0,,
PL-Alpha,FID-AL-06,9,17.44,20.56,0,,
PL-Alpha,FID-AL-07,6,16.37,18.67,0,,
PL-Alpha,FID-AL-08,9,17.95,13.89,3,34.36,25.67
PL-Alpha,FID-AL-09,12,11.53,19.08,3,7.13,14.67
PL-Alpha,FID-AL-10,12,10.33,4.25,7,6.43,2.86
PL-Alpha,FID-AL-11,9,7.95,11.33,3,8.8,12.67
PL-Alpha,FID-AL-12,6,12.67,24.83,0,,
PL-Beta,FID-BE-01,9,10.74,21.78,6,10.98,20.83
PL-Beta,FID-BE-02,6,17.6,2.0,0,,
PL-Beta,FID-BE-03,9,14.87,3.67,0,,
PL-Beta,FID-BE-04,9,17.14,10.67,3,12.23,9.33
PL-Beta,FID-BE-05,12,28.14,36.5,1,12.86,18.0
PL-Beta,FID-BE-06,6,11.41,17.33,0,,
PL-Beta,FID-BE-07,9,25.12,6.89,0,,
PL-Beta,FID-BE-08,6,19.89,5.5,0,,
PL-Beta,FID-BE-09,6,13.21,11.5,0,,
PL-Beta,FID-BE-10,6,9.64,17.83,0,,
PL-Beta,FID-BE-11,6,11.59,8.0,0,,
PL-Beta,FID-BE-12,6,10.46,14.33,3,8.73,12.33
PL-Delta,FID-DE-01,6,6.99,11.33,0,,
PL-Delta,FID-DE-02,9,14.29,23.56,3,8.87,14.0
PL-Delta,FID-DE-03,6,10.38,17.33,0,,
PL-Delta,FID-DE-04,6,16.33,5.33,0,,
PL-Delta,FID-DE-05,6,15.49,8.17,3,19.49,10.67
PL-Delta,FID-DE-06,6,20.59,23.5,0,,
PL-Delta,FID-DE-07,9,11.0,14.56,1,13.77,19.0
PL-Delta,FID-DE-08,12,20.5,29.75,4,11.89,18.25
PL-Delta,FID-DE-09,6,17.94,6.17,0,,
PL-Delta,FID-DE-10,6,6.97,2.17,0,,
PL-Delta,FID-DE-11,9,6.37,2.56,5,4.24,1.8
PL-Delta,FID-DE-12,6,10.48,13.33,0,,
PL-Gamma,FID-GA-01,6,14.87,32.17,0,,
PL-Gamma,FID-GA-02,9,8.27,13.33,0,,
PL-Gamma,FID-GA-03,9,15.49,7.56,0,,
PL-Gamma,FID-GA-04,6,12.61,3.0,0,,
PL-Gamma,FID-GA-05,6,11.39,2.5,0,,
PL-Gamma,FID-GA-06,6,15.28,23.17,0,,
PL-Gamma,FID-GA-07,9,9.68,7.33,0,,
PL-Gamma,FID-GA-08,9,25.08,22.44,1,2.26,3.0
PL-Gamma,FID-GA-09,12,16.64,13.58,4,17.7,14.75
PL-Gamma,FID-GA-10,6,18.19,29.5,0,,
PL-Gamma,FID-GA-11,9,17.31,23.11,2,15.89,27.5
PL-Gamma,FID-GA-12,9,12.31,23.11,2,9.55,17.0
