part_number,functional_id,product_line,forecast_month,months_of_history,months_since_sub,in_transition_window,forecast,actual,abs_error,pct_error,fit_status,alpha,model_type
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-01-01,4,4.0,True,37.0,51,14.0,27.450980392156865,fitted,0.2521,SES
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-02-01,4,5.0,True,37.0,36,1.0,2.7777777777777777,fitted,0.2521,SES
AL01-3810-HF,FID-AL-01,PL-Alpha,2023-03-01,4,6.0,True,37.0,45,8.0,17.77777777777778,fitted,0.2521,SES
AL01-8489-XC,FID-AL-01,PL-Alpha,2024-10-01,6,6.0,True,59.0,57,2.0,3.508771929824561,fitted,0.95,SES
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-10-01,3,3.0,True,237.0,230,7.0,3.0434782608695654,fitted,0.05,SES
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-11-01,3,4.0,True,237.0,216,21.0,9.722222222222223,fitted,0.05,SES
AL04-5797-VA,FID-AL-04,PL-Alpha,2024-12-01,3,5.0,True,237.0,220,17.0,7.727272727272727,fitted,0.05,SES
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-10-01,2,2.0,True,49.0,75,26.0,34.66666666666667,fitted,0.95,SES
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-11-01,2,3.0,True,49.0,73,24.0,32.87671232876712,fitted,0.95,SES
AL08-9380-SB,FID-AL-08,PL-Alpha,2024-12-01,2,4.0,True,49.0,76,27.0,35.526315789473685,fitted,0.95,SES
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-10-01,3,3.0,True,181.0,180,1.0,0.5555555555555556,fitted,0.6563,SES
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-11-01,3,4.0,True,181.0,173,8.0,4.624277456647398,fitted,0.6563,SES
AL09-7159-CH,FID-AL-09,PL-Alpha,2023-12-01,3,5.0,True,181.0,216,35.0,16.203703703703702,fitted,0.6563,SES
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-05-01,5,5.0,True,42.0,42,0.0,0.0,fitted,0.05,SES
AL10-2651-QP,FID-AL-10,PL-Alpha,2024-06-01,5,6.0,True,42.0,48,6.0,12.5,fitted,0.05,SES
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-10-01,2,2.0,True,48.0,42,6.0,14.285714285714285,fitted,0.95,SES
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-11-01,2,3.0,True,48.0,49,1.0,2.0408163265306123,fitted,0.95,SES
AL10-4387-ES,FID-AL-10,PL-Alpha,2024-12-01,2,4.0,True,48.0,47,1.0,2.127659574468085,fitted,0.95,SES
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-09-01,5,5.0,True,43.0,46,3.0,6.521739130434782,fitted,0.6907,SES
AL10-7931-GY,FID-AL-10,PL-Alpha,2023-10-01,5,6.0,True,43.0,40,3.0,7.5,fitted,0.6907,SES
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-10-01,3,3.0,True,146.0,164,18.0,10.975609756097562,fitted,0.05,SES
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-11-01,3,4.0,True,146.0,128,18.0,14.0625,fitted,0.05,SES
AL11-6024-OR,FID-AL-11,PL-Alpha,2024-12-01,3,5.0,True,146.0,148,2.0,1.3513513513513513,fitted,0.05,SES
BE01-2281-WI,FID-BE-01,PL-Beta,2024-10-01,4,4.0,True,196.0,225,29.0,12.88888888888889,fitted,0.05,SES
BE01-2281-WI,FID-BE-01,PL-Beta,2024-11-01,4,5.0,True,196.0,222,26.0,11.711711711711711,fitted,0.05,SES
BE01-2281-WI,FID-BE-01,PL-Beta,2024-12-01,4,6.0,True,196.0,200,4.0,2.0,fitted,0.05,SES
BE01-3767-FY,FID-BE-01,PL-Beta,2024-03-01,3,3.0,True,191.0,169,22.0,13.017751479289942,fitted,0.05,SES
BE01-3767-FY,FID-BE-01,PL-Beta,2024-04-01,3,4.0,True,191.0,164,27.0,16.463414634146343,fitted,0.05,SES
BE01-3767-FY,FID-BE-01,PL-Beta,2024-05-01,3,5.0,True,191.0,174,17.0,9.770114942528735,fitted,0.05,SES
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-04-01,4,4.0,True,88.0,79,9.0,11.39240506329114,fitted,0.1547,SES
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-05-01,4,5.0,True,88.0,73,15.0,20.54794520547945,fitted,0.1547,SES
BE04-1427-ZN,FID-BE-04,PL-Beta,2023-06-01,4,6.0,True,88.0,84,4.0,4.761904761904762,fitted,0.1547,SES
BE05-5119-BJ,FID-BE-05,PL-Beta,2023-12-01,6,6.0,True,122.0,140,18.0,12.857142857142856,fitted,0.2016,SES
BE12-1188-AY,FID-BE-12,PL-Beta,2024-10-01,3,3.0,True,118.0,125,7.0,5.6000000000000005,fitted,0.95,SES
BE12-1188-AY,FID-BE-12,PL-Beta,2024-11-01,3,4.0,True,118.0,147,29.0,19.727891156462583,fitted,0.95,SES
BE12-1188-AY,FID-BE-12,PL-Beta,2024-12-01,3,5.0,True,118.0,117,1.0,0.8547008547008548,fitted,0.95,SES
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-07-01,3,3.0,True,174.0,167,7.0,4.191616766467066,fitted,0.05,SES
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-08-01,3,4.0,True,174.0,154,20.0,12.987012987012985,fitted,0.05,SES
DE02-5648-ZV,FID-DE-02,PL-Delta,2023-09-01,3,5.0,True,174.0,159,15.0,9.433962264150944,fitted,0.05,SES
DE05-2506-LK,FID-DE-05,PL-Delta,2024-10-01,3,3.0,True,44.0,54,10.0,18.51851851851852,fitted,0.95,SES
DE05-2506-LK,FID-DE-05,PL-Delta,2024-11-01,3,4.0,True,44.0,54,10.0,18.51851851851852,fitted,0.95,SES
DE05-2506-LK,FID-DE-05,PL-Delta,2024-12-01,3,5.0,True,44.0,56,12.0,21.428571428571427,fitted,0.95,SES
DE07-6795-ZP,FID-DE-07,PL-Delta,2022-11-01,6,6.0,True,119.0,138,19.0,13.768115942028986,fitted,0.05,SES
DE08-6337-CE,FID-DE-08,PL-Delta,2024-10-01,2,2.0,True,174.0,146,28.0,19.17808219178082,fitted,0.95,SES
DE08-6337-CE,FID-DE-08,PL-Delta,2024-11-01,2,3.0,True,174.0,161,13.0,8.074534161490684,fitted,0.95,SES
DE08-6337-CE,FID-DE-08,PL-Delta,2024-12-01,2,4.0,True,174.0,151,23.0,15.2317880794702,fitted,0.95,SES
DE08-7553-NW,FID-DE-08,PL-Delta,2022-11-01,6,6.0,True,168.0,177,9.0,5.084745762711865,fitted,0.5272,SES
DE11-4073-NY,FID-DE-11,PL-Delta,2024-05-01,5,5.0,True,37.0,37,0.0,0.0,fitted,0.2691,SES
DE11-4073-NY,FID-DE-11,PL-Delta,2024-06-01,5,6.0,True,37.0,42,5.0,11.904761904761903,fitted,0.2691,SES
DE11-5740-FS,FID-DE-11,PL-Delta,2024-10-01,2,2.0,True,44.0,43,1.0,2.3255813953488373,fitted,0.95,SES
DE11-5740-FS,FID-DE-11,PL-Delta,2024-11-01,2,3.0,True,44.0,42,2.0,4.761904761904762,fitted,0.95,SES
DE11-5740-FS,FID-DE-11,PL-Delta,2024-12-01,2,4.0,True,44.0,45,1.0,2.2222222222222223,fitted,0.95,SES
GA08-1365-WB,FID-GA-08,PL-Gamma,2023-08-01,6,6.0,True,130.0,133,3.0,2.2556390977443606,fitted,0.6339,SES
GA09-1457-YO,FID-GA-09,PL-Gamma,2023-05-01,6,6.0,True,77.0,82,5.0,6.097560975609756,fitted,0.6029,SES
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-10-01,2,2.0,True,62.0,90,28.0,31.11111111111111,fitted,0.95,SES
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-11-01,2,3.0,True,62.0,69,7.0,10.144927536231885,fitted,0.95,SES
GA09-9831-UE,FID-GA-09,PL-Gamma,2024-12-01,2,4.0,True,62.0,81,19.0,23.456790123456788,fitted,0.95,SES
GA11-2770-KI,FID-GA-11,PL-Gamma,2024-10-01,6,6.0,True,155.0,175,20.0,11.428571428571429,fitted,0.05,SES
GA11-3026-ZC,FID-GA-11,PL-Gamma,2024-01-01,6,6.0,True,137.0,172,35.0,20.348837209302324,fitted,0.3929,SES
GA12-5669-KH,FID-GA-12,PL-Gamma,2024-10-01,5,5.0,True,199.0,172,27.0,15.69767441860465,fitted,0.05,SES
GA12-5669-KH,FID-GA-12,PL-Gamma,2024-11-01,5,6.0,True,199.0,206,7.0,3.3980582524271843,fitted,0.05,SES
